308,Ka?mierczak  2007,17669094
309,Huemer  2015,25823967
310,Urge  2008,18609153
311,Yamada  2001 ,11266201
312,Aktas  2007,17617063
315,Jhuo  2013,24444543
316,Bajaj  1991,1743800
317,Tran  1997,9309756
318,Asajima  2012,21898101
319,Castillo  2002,12022902
320,Voigt  2003,12678199
321,Hensey  2007,17618400
322,Kamochi  1999,10943628
324,Lee  1998,9576415
326,Piquette  1999 ,9972380
327,Gysel  2013,24147515
328,Sekkarie  1997 ,9292575
331,Haverkamp  2001,11565214
333,Tomcsanyi  1999,10392400
334,Faggiano  1996,8842793
335,Lee  2017 ,29259513
337,Khan  2016 ,27857247
338,Nelson  2013,23362038
339,Wharton  1987,3499072
341,Devaux  2019,31373450
342,Trohman  1999,10217665
343,Haga  2019 ,30896264
344,Flanagan  2005,16386810
345,Jang  2020,32921663
347,Link  1997 ,9266902
348,Henderson  1991,1673626
349,Koh  1994,7815014
350,Routhier  2007,17394991
351,Elbey  2012,22338554
352,Alipour  2010,20075653
353,Durante?Mangoni  2020,32418190
354,Metzger  1993,8463445
356,Wilt  1993,8338292
360,Hunt  1995,7501784
363,Sharma  1998,9591913
371,Bilmakhanbetova  2021,34194796
372,Simon  2021,34127340
373,Ikebe  2021,33489705
374,Morales  2021,33711933
375,Burke  2021,https://doi.org/10.1002/ccr3.3838
376,Koshino  2021,33896871
377,Tiu  2021,https://doi.org/10.1007/s40278-021-96524-8
378,Spiegel  2021,34155161
379,Yonai  2021,33070441
380,Haghjoo  2021,33759318
382,Turner  2021,http;//doi.org/03.2021/1.1082
383,Takahashi  2021,33755267
384,Kumar  2021,33425536
385,Yüksekgönü  2021,34024302
386,Sundaram  2021,http://doi.org/10.1016/S0735-1097%2821%2903415-X
387,Patel  2021,https://doi.org/10.1016/S0735-1097(21)03480-X
388,Shah  2021,DOI: 10.1155/2021/6621496
389,Gnanapandithan  2021,33562182
390,Tziatzios  2021,33391927
391,Nordkin  2021.,33489188
392,Matsuura  2021,33880279
393,Aslam  2021,33762277
394,Rodieux  2015,25524931
395,McBride  2021,33990160
398,Patel  2019,31428390
399,Raehl  1985,2416504
402,Patel  2010,20401298
403,Charlton  2010,20006210
406,Sherazi  2008,18651388
407,Hsieh  1996,8792191
408,Biglin  1994,8173153
409,Abbasi  2020,32782861
410,Habbab  1990,2382672
411,Goto  2014,25088875
412,Lin  2012 ,22999324
413,Justo  2004,15450994
414,Samaha  1999,10569314
415,Fteha  2004,15511259
416,Goss  1993,8250668
417,Gitler  1994,8306730
419,Connolly  1991,1677700
424,McLeod  1991,1676922
425,Ng  2000,10666763
426,Rezkalla  1994,8047870
427,Chou  2001,11858397
428,Cammu  1999,10321848
430,Gould  1990,2389840
431,Vorperian  1996,8917271
432,Kourgiannidis  2005,https://doi.org/10.1111/j.1540-8167.2005.50083.x
433,Badshah  2009,19465366
434,Denvir  1998,9659329
436,Fayer  1986,3805334
437,Kemper  1983,6842807
438,Liberatore  1984,6145728
439,Perrault  2000,10730737
440,Davison  1985,4031733
441,Krähenbühl  1995,7771501
442,Monahan  1990,1977935
443,Pohjola-Sintonen  1993,8382980
444,Gandhi  2003,14686224
445,Tholakanahalli  2001,11302406
446,Tsai  1997,9071844
447,Vitola  1998,9817562
449,Mok  2005,16403073
450,Chang  2016,25057773
451,Choudhury  1999,11720625
452,Degrauwe  2019,31701514
453,Khalesi  2014,25815024
454,Russell  2013,23923121
455,Adler  2011,21763256
456,Nordt  2011,20674223
457,Almehmi  2004,15471174
458,Hernández  2005,16238992
